Key,Id,English (United States)(en-US),Portuguese (Brazil)(pt-BR)
"corneringMastery",61188427776,"Cornering Mastery","Domínio em curvas"
"vehicleControl",9190900584448,"Vehicle Control","Controle do veículo"
"showman",9193417166848,"Showman","Showman"
"trackAdaptation",9195199746048,"Track Adaptation","Adaptação à pista"
"fastLapSpecialist",9197221400576,"Fast Lap Specialist","Especialista em voltas rápidas"
"aggressiveOvertaking",9201654779904,"Aggressive Overtaking","Ultrapassagem agressiva"
"positionDefense",9203353473024,"Position Defense","Defesa de posição"
"simulatorTraining",9204393660416,"Simulator Training","Treinamento em simulador"
"continuousDevelopment",9205119275008,"Continuous Development","Desenvolvimento contínuo"
"telemetryReading",9206021050368,"Telemetry Reading","Leitura de telemetria"
"technicalCoaching",9206868299776,"Technical Coaching","Orientação técnica"
"mediaHandling",9207665217536,"Media Handling","Gestão de mídia"
"contractNegotiation",9208415997952,"Contract Negotiation","Negociação de contrato"
"teamPresence",9209233887232,"Team Presence","Presença na equipe"
"socialMedia",9210014027776,"Social Media","Mídias sociais"
"negotiator",9210873860096,"Negotiator","Negociador"
"pressureResistance",9211616251904,"Pressure Resistance","Resistência à pressão"
"quickDecisionMaking",9212400586752,"Quick Decision-Making","Decisão rápida"
"strategicInsight",9213122007040,"Strategic Insight","Visão estratégica"
"socialPerception",9214086696960,"Social Perception","Percepção social"
"mechanicalSensitivity",9455779270656,"Mechanical Sensitivity","Sensibilidade mecânica"